,address,mapx,mapy,name
2301,,,,경기도 파주시 파주혜음원지 방문자센터
2302,,,,충청북도 단양군 소선암 치유의 숲 치유센터
2303,,,,충청북도 청주시 (가칭)동남2유치원
2304,,,,충청북도 음성군 설피마을 공중화장실
2305,,,,서울특별시 은평구 (가칭)구립 한울타리어린이집
2306,,,,제주특별자치도 서귀포시 안덕보건지소 증축동
2307,경상남도 하동군 진교면 월운리 681,389605,274427,경상남도 하동군 갑정보건진료소
2308,,,,경상남도 김해시 김해치매전담 노인요양 주간보호시설
2309,전라남도 나주시 빛가람동 95-2,289900,270527,전라남도 나주시 빛그린유치원
2310,,,,경상남도 창원시 재료연구소 노후기숙사동 환경개선사업
2311,,,,경상남도 고성군 해양마리나 배후시설
2312,,,,강원도 정선군 정선아리랑시장 주차타워 건립사업
2313,,,,경기도 평택시 (가칭)동삭유치원
2314,,,,제주특별자치도 제주시 제주일도2 행복주택(공공업무시설)
2315,,,,경상남도 사천시 삼천포커뮤니티 에코주차장 조성공사
2316,,,,경기도 부천시 부천시 별빛마루도서관 건립공사
2317,,,,광주광역시 광산구 하남3지구 주차전용건축물 2
2318,서울특별시 강서구 마곡동 733-3,295852,552673,서울특별시 강서구 공항고등학교
2319,부산광역시 금정구 회동동  200-3,501828,292536,부산광역시 금정구 금정구 회동동 복합커뮤니티 문화센터
2320,,,,경상남도 창녕군 부곡온천 공중화장실(야외3주차장)
2321,인천광역시 강화군 길상면 온수리 544-6,267068,560731,인천광역시 강화군 강화온수우체국
2322,경상북도 포항시 북구 양덕동  655-1,525930,388757,경상북도 포항시 장량동 다목적 재난구호소
2323,,,,경상북도 울진군 중흥부 경로당
2324,부산광역시 영도구 동삼동 1163,498500,276090,부산광역시 영도구 부산 탁구체육관
2325,충청북도 충주시 대소원면 본리 647,384845,487414,충청북도 충주시 충주대소원초중학교
2326,충청북도 충주시 호암동 1075,393895,483747,충청북도 충주시 충주남한강초등학교
2327,경기도 화성시 목동 137-1,322415,510091,경기도 화성시 동탄 목동 이음터
2328,,,,충청북도 청주시 오송보건의료행정타운 제2직장어린이집(증축)
2329,강원도 원주시 귀래면 귀래리 550,388621,513068,강원도 원주시 도농교류센터
2330,경기도 수원시 장안구 조원동 778-13,312657,522099,경기도 수원시 송원경로당
2331,경상북도 포항시 북구 청하면 월포리 622-1 포항시장애인재활작업장,521886,401598,경상북도 포항시 포항 장애인재활작업장
2332,,,,"전라북도 완주군 이서 혁신도시 문화체육센터, 청소년 문화의집"
2333,,,,경상북도 경주시 경주경찰서 용강파출소 청사
2334,,,,경상북도 영천시 영천시 농산물 도매시장 시설 현대화 사업
2335,,,,인천광역시 남동구 석촌근린공원 내 다목적체육관
2336,,,,대전광역시 유성구 대전국제전시컨벤션센터
2337,전라북도 전주시 덕진구 만성동 1357-4,316584,361155,전라북도 전주시 전주 양현초등학교
2338,,,,대전광역시 동구 판암파출소 청사 신축공사
2339,충청북도 청주시 상당구 남일면 효촌리 137-1,356108,442883,충청북도 청주시 청주시 장애인가족지원센터
2340,,,,충청북도 청주시 통합청주시 상당구청사
2341,,,,울산광역시 중구 울산혁신도시 복합혁신센터
2342,경상남도 창원시 마산합포구 산호동 57-13,452825,291058,경상남도 창원시 교방동 남성경로당
2343,경기도 양주시 산북동 333-9,316132,578575,경기도 양주시 양주시 장애인보호작업장
2344,서울특별시 동대문구 용두동 29-3,315325,553003,서울특별시 동대문구 용두문화복지센터
2345,,,,제주특별자치도 제주시 사회복지법인 유진 단기거주시설
2346,울산광역시 남구 무거동 1532-3,514437,328652,울산광역시 남구 울산남부경찰서 무거지구대
2347,,,,인천광역시 서구 검단17호 근린공원 관리사무소
