index,title,address,lat,lon
0,경상남도 창원시 창원서부경찰서 동읍파출소,경남 창원시 의창구 동읍 용잠리 222-5,35.2787182404502,128.689282964033
1,서울특별시 영등포구 영등포동 공공복합시설 건립공사,,,
2,충청북도 진천군 광혜원 문화복지회관,,,
3,서울특별시 노원구 서울과학기술대학교 창조융합연구동,서울 노원구 공릉동 189,37.6298580333571,127.079322579266
4,경기도 양평군 양동면 삼산보건진료소,,,
5,경기도 파주시 법원읍 행정복지센터,경기 파주시 법원읍 법원리 376-1,37.8490489585185,126.882392907004
6,경기도 화성시 서경초등학교,경기 화성시 기산동 477,37.217019843865,127.050864337613
7,경상북도 칠곡군 석적유치원,경북 칠곡군 석적읍 중리 208-3,36.0758168568304,128.413952490863
8,충청남도 태안군 사법역사문화교육관,충남 태안군 안면읍 중장리 765-44,36.4822639577051,126.336654802057
9,인천광역시 계양구 인천광역시 농업기술지원센터,,,
10,충청남도 서산시 (가칭)서산예천유치원,,,
11,강원도 화천군 화천신읍 공공실버주택,강원 화천군 화천읍 신읍리 658-4,38.1147448299119,127.702546292365
12,경상남도 창녕군 남지국민체육센터(작은영화관),,,
13,충청북도 청주시 (가칭) 서현2초등학교 신축공사,,,
14,경상북도 봉화군 국립공원공단 태백산국립공원 백천분소,,,
15,경상남도 진주시 진주 충효교육원 별관,,,
16,경기도 의정부시 고산지구 주6 주차타워,,,
17,부산광역시 연제구 한빛공원 공영주차장 건립,,,
18,경상남도 밀양시 의열체험관,,,
19,부산광역시 영도구 대통전수방 창의산업공간,,,
20,경기도 수원시 수원시 매산동 행복주택 및 행정복지센터 복합개발 사업,,,
21,충청남도 금산군 자연치유교육및문화체험권역개발사업 B동,,,
22,충청남도 금산군 자연치유교육및문화체험권역개발사업 A동,,,
23,대구광역시 중구 동인커뮤니티센터,대구 중구 동인동3가 328-2,35.8730687278374,128.610908213387
24,강원도 원주시 기업유치원 신축공사,,,
25,경상북도 고령군 우곡면(객기) 기초생활 거점조성사업,,,
26,경기도 화성시 삼괴청소년 문화의집,,,
27,경상남도 통영시 정량천 생태하천 공중화장실,,,
28,경상남도 거제시 아주 청소년 문화의집,,,
29,전라남도 무안군 남악신도시 파크골프장,,,
30,전라남도 무안군 남악신도시 자전거공원 공중화장실,,,
31,전라남도 순천시 순천 트레이닝센터 건립공사,,,
32,광주광역시 남구 월산2 어린이공원 화장실,광주 서구 화정동 892,35.1409848940965,126.876867714261
33,전라남도 나주시 종자관리소청사(행정동) 건립공사,,,
34,경기도 고양시 고양 내일꿈제작소,,,
35,경상남도 진주시 진주시 장애인 문화체육센터,,,
36,경기도 수원시 호매실 2유치원,경기 수원시 권선구 호매실동 411-1,37.2668776274001,126.955541746305
37,경기도 연천군 연천군 다목적복지센터,,,
38,경기도 가평군 가평 북면파출소,경기 가평군 북면 목동리 848,37.8856826764873,127.550076485529
39,제주특별자치도 서귀포시 상예1 다목적회관,,,
40,충청남도 당진시 대덕초등학교,충남 당진시 대덕동 1882,36.8830691903604,126.63967765492
41,강원도 고성군 토성청소년문화의집,,,
42,울산광역시 북구 북구 평생학습관,울산 북구 연암동 1118-2,35.5844888316188,129.361724753547
43,대전광역시 유성구 대전유성경찰서 신성지구대,,,
44,제주특별자치도 제주시 사회복지법인 유진 단기거주시설(해안빌리지),,,
45,인천광역시 강화군 신문4리 경로당,,,
46,전라남도 강진군 칠량면 기초생활거점사업,,,
47,인천광역시 강화군 인산1리(호곡) 경로당,인천 강화군 양도면 인산리 365-1,37.6960551592454,126.422007681461
48,충청남도 아산시 아산경찰서 탕정파출소,충남 아산시 탕정면 용두리 487,36.799193212472,127.04722730163
49,광주광역시 광산구 하남3지구 주민복합시설 건립공사,,,
50,경상북도 경주시 (가칭) 제2종합안전체험관,,,
51,경상북도 영주시 영주시 신영주 번개시장 주차장,,,
52,경상남도 합천군 합천군 평생학습관,경남 합천군 합천읍 합천리 387-4,35.5672304737305,128.165891707448
53,대구광역시 동구 도동문화마을 커뮤니티센터,대구 동구 도동 470-1,35.9191676910053,128.66239095309
54,경상남도 양산시 물금2고등학교 교사 신축공사,,,
55,부산광역시 강서구 신호민원센터,,,
56,충청남도 당진시 당진꿈나래학교,충남 당진시 합덕읍 운산리 678-42,36.8122015027559,126.762137866805
57,경기도 시흥시 벅스빌리지 건립공사,,,
58,경상남도 창원시 북면1고등학교,경남 창원시 의창구 소답동 159-19,35.2619673877991,128.630904490969
59,충청남도 천안시 (가칭)천안성성2유치원,,,
60,충청남도 공주시 공주세무서,충남 공주시 반죽동 332,36.454142416806,127.120461821833
61,강원도 인제군 인제군 장애인보호 작업장 신축공사,,,
62,전라북도 군산시 군산 회현면 면청사 건립사업,,,
63,전라북도 군산시 너나들이 쉼터 신축공사,,,
64,전라북도 부안군 부안해양경찰서 구조대 청사 신축공사,,,
65,전라남도 화순군 화순내수면 양식단지,,,
66,충청남도 아산시 아산시 여성커뮤니티 센터,,,
67,강원도 홍천군 홍천남산유치원,강원 홍천군 홍천읍 연봉리 158-1,37.6827267472736,127.877963383452
68,울산광역시 북구 울산교육연수원,울산 북구 정자동,35.6166927379079,129.443094530052
69,서울특별시 양천구 신정종합사회복지관,서울 양천구 신정동 919-6,37.5272623219076,126.855617467081
70,경상북도 포항시 죽도시장 공영주차장,경북 포항시 북구 죽도동 2-69,36.0363458258605,129.367269566945
71,서울특별시 영등포구 당산근린공원,서울 영등포구 당산동3가 385,37.5255122202678,126.895769419966
72,충청북도 보은군 내북면 농촌중심지 활성화사업 생태 공중화장실,,,
73,충청북도 보은군 내북면 농촌중심지 활성화사업 쉼터 공중화장실,,,
74,경기도 파주시 파주 운정 다누림 복지관,,,
75,전라남도 완도군 완도군 고금면 면사무소,전남 완도군 고금면 농상리 409,34.3949511549156,126.80429881936
76,경기도 시흥시 시흥배곧우체국 건립공사,,,
77,경기도 동두천시 동두천 자연휴양림,,,
78,경기도 고양시 고양 드론센터,경기 고양시 덕양구 대자동 645-6,37.7137136478885,126.886424418041
79,전라남도 순천시 순천시 신대도서관,전남 순천시 해룡면 신대리,34.9339333826056,127.561892307361
80,경기도 화성시 (가칭)동탄7고등학교,,,
81,충청북도 청주시 가로수도서관,충북 청주시 흥덕구 가경동 1804,36.6184264209812,127.427948463228
82,전라북도 군산시 대야면 노인복지관 신축공사,,,
83,서울특별시 도봉구 방학3동 구립한옥도서관,,,
84,강원도 양양군 강현면 전진리 제1종 근린생활시설(공중화장실 및 창고),,,
85,부산광역시 북구 북구 종합체육관,,,
86,울산광역시 동구 일산진마을 주민공동이용시설,,,
87,경상북도 칠곡군 칠곡교육지원청 교육지원센터,,,
88,경상남도 진주시 유등전시관,,,
89,강원도 삼척시 삼척복합체육공원 삼척시민체육관,,,
90,부산광역시 부산진구 가야2동사(청소년 문화센터),,,
91,인천광역시 부평구 인천 삼산경찰서 부개파출소,인천 부평구 부개동 501-10,37.4976979294626,126.739707355429
92,대전광역시 서구 도솔마을 주민커뮤니티마당 조성(주차장),,,
93,전라북도 순창군 세대통합형 실내놀이문화체육센터,,,
94,대전광역시 유성구 국립 대전현충원 봉안당(충혼당),,,
95,서울특별시 송파구 거암초등학교 및 거암중학교 교사,,,
96,인천광역시 미추홀구 주안5동 행정복지센터,인천 미추홀구 주안동 266-1,37.4637711198267,126.676645881955
97,경상남도 의령군 의령 전통장류 활성화센터,,,
98,전라남도 신안군 신안 문화예술회관 및 문화원 건립사업,,,
99,전라북도 남원시 반선보건진료소,전북 남원시 산내면 부운리 242-17,35.373291132164,127.579420203742
100,경상북도 경산시 경산시 동부동 행정복지센터,경북 경산시 사동 189,35.8086909689964,128.755037256515
101,"광주광역시 북구 신용 복합 공공도서관 건립공사(1종근린생활시설, 행정복지센터)",,,
102,"광주광역시 북구 신용 복합 공공도서관 건립공사(교육연구시설, 도서관)",,,
103,경상북도 성주군 성주군 성산동 고분군 전시관,경북 성주군 성주읍 성산리 822,35.9067631165283,128.299221823862
104,경기도 양평군 양근교직원공동사택,,,
105,"서울특별시 성동구 서울교통공사 5,7호선 신조전동차 336칸(우진산전)",,,
106,제주특별자치도 서귀포시 신례1리 다목적회관,,,
107,경상남도 창원시 진동면 동촌2구 경로당,,,
108,경상남도 창원시 동읍 곡목경로당,경남 창원시 의창구 동읍 화양리 620-3,35.2984910802176,128.661258312784
109,경상남도 창원시 동읍 용잠1구 여성경로당,,,
110,경기도 의정부시 거북경로당 재건축 신축공사,,,
111,전라북도 전주시 전주시 거점형 공공직장어린이집,전북 전주시 덕진구 만성동 1370-2,35.8452840700241,127.081573193323
112,광주광역시 북구 복합문화복지 커뮤니티센터,광주 북구 양산동 343-5,35.201394279442,126.87377520247
113,경상북도 영주시 영주 전통마을체험단지 마을역사자료관,,,
114,경상북도 군위군 군위군 국공립하나어린이집,,,
115,전라북도 무주군 무주군 당산리 공영주차장,,,
116,경기도 군포시 송정복합체육센터,,,
117,충청남도 논산시 사회적 경제통합 지원센터,,,
118,충청북도 음성군 중동보건진료소,충북 음성군 소이면 중동리 1059-3,36.9085140344741,127.770294818473
119,대전광역시 중구 육교경로당,대전 중구 유천동 127-78,36.3187854467088,127.401366545589
120,경상북도 구미시 반포경로당,,,
121,충청북도 진천군 이월다목적체육관 건립사업,,,
122,경상북도 칠곡군 덕천경로당,,,
123,충청남도 보령시 상생협력상가 및 청년창업지원센터,,,
124,전라남도 순천시 순천시 혁신 농업인센터,,,
